match_id,inning,over,ball,batsman_runs,bowler_runs,is_wicket
389,1,10,1,1.0,6.0,0.0
1392,2,9,2,1.0,0.0,1.0
1370,1,19,3,6.0,6.0,
1245,1,13,6,4.0,6.0,0.0
450,2,12,4,6.0,2.0,
1883,2,17,1,6.0,,
1692,2,5,6,3.0,1.0,0.0
486,2,15,4,0.0,0.0,1.0
1580,1,12,1,2.0,4.0,1.0
1660,1,13,3,4.0,3.0,1.0
1254,2,12,4,0.0,2.0,
1114,1,17,2,,3.0,1.0
1385,1,16,5,4.0,1.0,1.0
1026,1,3,6,4.0,,
177,1,9,6,4.0,6.0,0.0
173,2,6,6,0.0,4.0,0.0
1284,1,17,6,,1.0,
1044,1,8,6,0.0,,1.0
1431,2,2,1,0.0,,
1738,2,14,3,0.0,3.0,0.0
34,1,10,4,3.0,4.0,1.0
1440,1,7,2,2.0,3.0,1.0
1400,2,16,3,2.0,0.0,1.0
688,2,9,5,2.0,3.0,1.0
269,2,9,1,6.0,2.0,
1840,2,20,5,6.0,,1.0
1682,1,7,6,3.0,1.0,
1622,1,12,2,1.0,1.0,
1857,1,10,5,0.0,6.0,
1521,1,7,1,2.0,4.0,1.0
1983,1,4,3,3.0,0.0,1.0
392,2,5,4,,0.0,
1113,2,6,2,6.0,4.0,1.0
573,1,8,3,2.0,6.0,1.0
1050,1,12,4,,3.0,
1659,2,9,6,1.0,,0.0
1828,2,9,2,4.0,1.0,
1871,2,11,4,4.0,4.0,0.0
888,1,17,2,3.0,1.0,0.0
1823,1,2,2,1.0,2.0,1.0
1864,2,7,4,1.0,2.0,1.0
348,2,15,6,4.0,2.0,1.0
131,2,6,1,,3.0,1.0
334,2,13,3,3.0,2.0,0.0
1213,2,2,1,4.0,4.0,
1901,2,18,2,3.0,6.0,0.0
207,1,10,1,,6.0,
819,1,13,5,0.0,0.0,1.0
349,2,3,6,0.0,1.0,0.0
1764,1,14,4,1.0,,
1847,1,7,2,2.0,1.0,
1353,1,17,6,,3.0,1.0
1743,2,12,5,6.0,1.0,1.0
162,2,5,1,6.0,3.0,1.0
983,1,19,3,4.0,,0.0
577,2,7,6,2.0,,1.0
1506,2,16,1,,2.0,0.0
17,1,6,2,6.0,1.0,
234,2,6,4,,3.0,0.0
1136,2,8,3,1.0,0.0,0.0
1472,1,15,2,1.0,,1.0
1628,2,13,2,6.0,,
1677,1,5,3,2.0,,0.0
1861,2,14,6,6.0,6.0,0.0
1777,2,13,5,4.0,4.0,1.0
1622,1,3,4,6.0,6.0,
1934,1,11,1,6.0,,0.0
1862,1,16,4,,1.0,0.0
643,1,5,1,,4.0,0.0
756,2,1,2,,,
1076,2,11,6,4.0,3.0,1.0
1563,1,9,1,3.0,1.0,1.0
242,2,20,1,2.0,6.0,1.0
783,1,16,4,4.0,1.0,1.0
754,2,9,4,2.0,0.0,
554,2,18,4,6.0,4.0,1.0
810,2,9,3,1.0,1.0,0.0
1169,1,4,2,3.0,,0.0
457,1,19,6,6.0,6.0,0.0
1602,2,5,3,,6.0,0.0
112,2,17,6,2.0,,
1888,1,15,2,6.0,6.0,
1756,1,6,2,,3.0,0.0
264,2,19,3,1.0,0.0,
614,1,3,3,2.0,4.0,1.0
652,2,18,1,,,1.0
1411,1,11,2,1.0,3.0,0.0
1918,1,6,3,4.0,4.0,0.0
346,2,5,4,6.0,4.0,1.0
136,2,13,3,0.0,6.0,1.0
1266,1,8,3,,1.0,1.0
1850,1,8,1,,,1.0
533,2,6,6,0.0,4.0,
1846,2,4,4,6.0,1.0,0.0
1195,2,4,5,4.0,3.0,0.0
624,1,4,1,6.0,1.0,
898,1,13,2,0.0,1.0,0.0
971,1,4,2,2.0,6.0,
1275,1,3,2,6.0,,0.0
1223,1,8,2,0.0,0.0,0.0
477,2,13,5,0.0,1.0,1.0
1221,2,11,1,6.0,0.0,0.0
8,2,8,3,4.0,2.0,1.0
1888,1,16,4,1.0,6.0,1.0
66,1,20,1,,,0.0
766,2,5,2,2.0,1.0,
1893,1,18,2,3.0,3.0,0.0
1048,1,16,6,1.0,4.0,
733,2,4,2,,0.0,1.0
177,2,15,1,0.0,,1.0
1222,1,5,1,1.0,1.0,1.0
330,2,12,1,2.0,4.0,1.0
1499,2,2,2,,,
870,2,1,4,4.0,3.0,
393,2,17,2,,0.0,1.0
1036,1,15,4,3.0,3.0,
833,2,12,1,1.0,,0.0
1063,2,12,3,0.0,3.0,0.0
1306,2,4,5,0.0,0.0,0.0
262,1,2,1,4.0,2.0,
325,2,9,3,4.0,,0.0
1740,1,2,3,3.0,2.0,
1522,1,10,5,3.0,1.0,1.0
1551,2,10,6,0.0,,0.0
1672,1,14,1,4.0,2.0,1.0
1942,2,9,5,2.0,1.0,1.0
1669,1,6,6,,4.0,1.0
1358,1,10,2,4.0,3.0,
28,2,7,3,4.0,,1.0
1127,2,11,4,0.0,2.0,
837,2,3,6,4.0,,0.0
914,2,12,4,0.0,1.0,1.0
1867,1,7,2,0.0,4.0,0.0
1689,2,4,2,6.0,1.0,
1262,2,16,3,1.0,6.0,1.0
67,2,1,4,6.0,,
814,1,19,1,,6.0,0.0
946,1,9,5,,0.0,0.0
1201,2,6,2,4.0,,
1218,2,9,3,3.0,1.0,1.0
925,2,2,6,2.0,3.0,1.0
423,2,6,2,3.0,2.0,
1325,2,2,3,0.0,1.0,
80,1,10,6,1.0,4.0,0.0
423,2,19,2,3.0,2.0,
332,2,13,1,3.0,0.0,
42,1,7,6,4.0,0.0,1.0
107,1,7,2,1.0,0.0,1.0
1842,2,2,3,0.0,0.0,1.0
954,1,20,5,,0.0,
1070,1,2,5,0.0,3.0,1.0
737,1,9,3,,4.0,0.0
1692,2,10,4,0.0,4.0,1.0
854,1,12,3,,,0.0
466,1,20,6,2.0,3.0,1.0
1296,1,19,3,,3.0,
844,1,8,3,1.0,3.0,1.0
1968,2,15,6,1.0,3.0,1.0
1102,2,2,1,3.0,1.0,0.0
1705,2,11,3,,6.0,
318,2,1,1,3.0,6.0,1.0
843,1,4,5,2.0,1.0,
861,2,1,1,6.0,0.0,
703,1,15,5,,4.0,
1406,2,3,1,2.0,4.0,
827,2,12,4,4.0,3.0,0.0
1236,2,17,5,3.0,3.0,1.0
1447,1,17,3,1.0,3.0,1.0
1946,1,7,6,1.0,3.0,
648,2,9,3,6.0,4.0,
432,1,4,4,4.0,,1.0
875,2,5,3,4.0,4.0,
70,2,15,3,3.0,1.0,1.0
1026,2,16,3,1.0,0.0,1.0
472,2,16,5,1.0,0.0,0.0
1200,1,4,5,3.0,4.0,1.0
816,1,11,1,6.0,4.0,1.0
1258,2,10,3,3.0,1.0,1.0
1431,1,5,5,6.0,,
1673,1,14,1,1.0,3.0,1.0
558,2,13,6,0.0,2.0,1.0
1154,1,17,2,2.0,,1.0
269,1,18,2,4.0,,1.0
1487,1,1,4,0.0,6.0,
238,2,10,2,2.0,,1.0
382,1,5,5,,,
709,2,1,3,2.0,6.0,
1320,1,2,6,0.0,,1.0
272,1,14,4,6.0,4.0,0.0
1345,1,6,3,2.0,3.0,1.0
859,2,17,5,4.0,6.0,0.0
814,2,5,6,6.0,6.0,1.0
1145,2,14,3,6.0,2.0,0.0
1006,2,13,6,3.0,2.0,
463,2,2,3,1.0,,0.0
1503,1,13,1,,,1.0
166,2,12,5,3.0,2.0,1.0
98,2,2,3,6.0,0.0,
242,2,18,6,3.0,0.0,
1424,2,7,5,0.0,,0.0
489,2,17,1,1.0,6.0,
1733,2,8,6,4.0,3.0,
525,1,4,2,1.0,2.0,0.0
1819,1,18,5,0.0,3.0,
1297,2,3,3,6.0,1.0,1.0
1170,2,14,1,0.0,,0.0
997,1,1,5,2.0,0.0,1.0
223,2,20,1,1.0,,
412,1,18,4,3.0,6.0,1.0
1650,2,2,3,4.0,0.0,1.0
255,1,12,6,0.0,1.0,
1358,1,16,3,6.0,1.0,
1090,2,19,6,0.0,,1.0
186,2,4,2,2.0,4.0,1.0
815,2,4,1,3.0,4.0,0.0
576,1,2,4,2.0,6.0,
1142,2,4,6,,0.0,
1468,1,17,6,0.0,0.0,1.0
1431,2,19,1,2.0,3.0,
79,1,18,3,,4.0,1.0
1448,1,16,3,0.0,,
165,1,11,2,0.0,4.0,
507,1,1,4,0.0,2.0,1.0
830,2,19,3,4.0,,0.0
1016,2,8,5,4.0,4.0,1.0
1082,1,12,3,4.0,6.0,
205,1,6,3,4.0,4.0,0.0
11,2,11,6,2.0,3.0,
1580,2,8,5,1.0,6.0,0.0
422,1,10,4,6.0,6.0,1.0
1245,1,16,4,1.0,0.0,
215,1,16,2,1.0,,0.0
428,1,18,5,4.0,4.0,1.0
232,1,2,1,2.0,1.0,
65,2,13,4,0.0,2.0,0.0
1605,2,4,1,6.0,4.0,0.0
53,2,16,6,2.0,1.0,0.0
143,2,10,6,4.0,,0.0
1644,2,6,6,1.0,,0.0
1959,2,6,1,,1.0,
1064,1,4,1,1.0,4.0,
229,1,2,3,0.0,4.0,1.0
1221,2,14,5,,1.0,
372,1,16,3,,2.0,
572,1,8,1,6.0,0.0,
1493,1,10,3,0.0,3.0,0.0
1114,2,20,4,0.0,1.0,
1843,2,5,5,1.0,3.0,
379,2,2,4,1.0,0.0,
922,2,15,1,4.0,2.0,1.0
1535,1,10,3,4.0,,1.0
1879,1,7,3,,,1.0
385,1,13,3,4.0,3.0,1.0
1971,1,4,5,,2.0,0.0
1778,2,10,4,6.0,1.0,
195,1,18,2,0.0,6.0,
758,1,13,1,3.0,2.0,1.0
661,1,15,2,0.0,4.0,1.0
1321,2,15,1,,6.0,
583,1,2,6,6.0,4.0,0.0
189,1,19,6,3.0,1.0,0.0
1898,1,14,1,6.0,2.0,0.0
746,1,5,1,2.0,1.0,1.0
698,1,16,1,6.0,0.0,0.0
827,2,10,2,4.0,0.0,0.0
938,1,9,6,2.0,,0.0
1574,2,17,5,6.0,,0.0
1957,2,13,1,0.0,,
278,1,14,5,6.0,0.0,0.0
824,2,7,6,1.0,1.0,0.0
467,2,7,5,2.0,1.0,
1385,1,1,6,4.0,3.0,
130,1,18,1,,3.0,0.0
1379,2,19,2,3.0,6.0,0.0
1048,2,15,3,6.0,1.0,1.0
684,2,6,5,4.0,3.0,0.0
401,2,1,5,3.0,0.0,1.0
103,2,8,4,6.0,2.0,
1292,1,8,1,0.0,3.0,1.0
1614,1,16,2,3.0,3.0,1.0
1667,2,6,5,1.0,2.0,1.0
683,1,14,5,3.0,2.0,0.0
1444,2,6,1,6.0,2.0,0.0
1526,2,11,5,6.0,1.0,0.0
1323,1,16,3,4.0,,
1124,1,4,2,0.0,0.0,
1957,1,4,6,0.0,6.0,0.0
206,2,17,2,1.0,4.0,1.0
336,2,16,6,6.0,3.0,
1158,2,18,6,1.0,4.0,
425,1,6,6,2.0,2.0,0.0
655,2,9,3,0.0,2.0,1.0
1097,1,4,2,,0.0,
1295,1,2,2,,2.0,0.0
1599,2,2,3,0.0,1.0,0.0
322,1,1,3,0.0,1.0,0.0
688,2,5,4,3.0,,
550,1,9,4,1.0,,0.0
1502,1,7,1,,3.0,
1576,2,10,6,,,
1496,1,4,5,3.0,0.0,
1767,1,4,3,6.0,2.0,
1379,2,1,4,6.0,0.0,1.0
1197,1,15,1,3.0,6.0,1.0
663,1,14,4,1.0,3.0,
1390,1,13,1,6.0,,1.0
875,2,6,1,3.0,2.0,1.0
1135,1,6,6,2.0,2.0,0.0
1867,1,17,5,3.0,2.0,0.0
55,1,14,3,,0.0,
1731,2,17,1,6.0,6.0,
917,1,5,2,6.0,,0.0
1363,2,4,2,2.0,6.0,0.0
1703,1,4,4,6.0,3.0,0.0
931,2,7,4,1.0,4.0,
1086,1,10,1,3.0,1.0,
639,2,12,3,,3.0,1.0
1276,2,2,5,0.0,,
240,1,4,1,2.0,,
7,1,13,3,0.0,1.0,0.0
1148,2,13,5,3.0,,0.0
1697,2,14,3,,2.0,1.0
1321,1,4,4,2.0,,0.0
553,1,2,2,2.0,6.0,
465,1,7,1,3.0,,
1687,2,15,2,0.0,6.0,
880,2,1,5,2.0,0.0,1.0
1338,1,19,6,0.0,6.0,1.0
1808,2,15,5,4.0,2.0,1.0
202,1,1,4,0.0,4.0,0.0
560,2,8,3,6.0,3.0,
612,2,10,5,4.0,3.0,1.0
1717,2,4,3,6.0,6.0,0.0
1200,1,18,5,3.0,,
633,1,15,3,6.0,6.0,
550,1,20,6,1.0,,1.0
1904,2,16,3,2.0,0.0,1.0
308,2,2,4,,4.0,
18,1,15,6,2.0,2.0,0.0
1443,1,18,4,3.0,4.0,
1594,1,9,3,0.0,3.0,1.0
822,1,19,3,,3.0,0.0
1527,2,5,3,4.0,,1.0
1950,2,13,2,2.0,2.0,
916,1,9,6,0.0,2.0,
1704,1,5,2,0.0,,
201,1,9,3,6.0,2.0,
1788,1,20,1,4.0,2.0,0.0
52,2,7,4,4.0,3.0,0.0
65,2,17,2,6.0,3.0,1.0
1355,1,11,2,0.0,,1.0
336,1,12,1,3.0,4.0,
1493,2,19,1,4.0,1.0,0.0
150,1,10,1,0.0,6.0,
333,2,14,2,4.0,,0.0
1900,2,19,6,3.0,4.0,1.0
694,1,12,3,6.0,6.0,0.0
754,1,16,3,,2.0,1.0
1515,1,4,2,2.0,4.0,
384,2,10,5,6.0,4.0,
848,2,8,3,6.0,,0.0
917,1,6,3,,,
268,1,20,2,4.0,0.0,1.0
82,1,8,2,0.0,,1.0
1149,2,16,5,4.0,,0.0
1583,1,11,6,6.0,6.0,0.0
595,1,10,4,6.0,3.0,1.0
771,2,13,2,1.0,,0.0
1167,2,17,2,1.0,,
867,1,11,1,4.0,0.0,0.0
281,2,5,5,6.0,3.0,1.0
1512,2,19,3,0.0,4.0,0.0
985,2,19,6,3.0,,1.0
184,1,1,3,,0.0,0.0
8,1,7,3,0.0,2.0,
1513,1,11,6,0.0,6.0,1.0
1716,2,4,2,3.0,0.0,
1347,2,5,4,4.0,6.0,1.0
1189,2,11,4,6.0,0.0,0.0
1101,2,20,5,2.0,4.0,1.0
779,1,20,5,,0.0,1.0
703,2,1,3,4.0,0.0,1.0
1673,1,5,6,0.0,4.0,0.0
815,2,7,6,6.0,,1.0
1826,2,19,5,3.0,6.0,
1606,2,3,4,0.0,1.0,0.0
1801,1,12,2,1.0,1.0,1.0
1534,2,6,1,4.0,1.0,
623,2,9,6,1.0,1.0,
1607,1,8,1,6.0,0.0,1.0
1488,2,16,4,4.0,6.0,
476,2,8,1,4.0,2.0,1.0
274,1,14,3,,1.0,0.0
1238,2,17,3,6.0,1.0,0.0
1885,2,18,1,3.0,2.0,0.0
1256,2,11,3,,3.0,1.0
1467,1,1,5,6.0,2.0,0.0
852,1,16,1,,0.0,
1823,2,16,6,6.0,,
1272,2,8,2,6.0,2.0,1.0
1292,2,20,4,4.0,,
1018,2,13,6,4.0,4.0,
60,1,13,4,2.0,4.0,1.0
1441,2,9,1,2.0,4.0,0.0
800,2,15,5,4.0,6.0,0.0
551,1,18,6,2.0,3.0,1.0
1169,2,2,3,6.0,1.0,1.0
200,1,5,2,4.0,6.0,
389,2,16,1,6.0,,0.0
1317,2,16,3,3.0,,
760,2,9,1,2.0,3.0,0.0
1655,2,10,2,2.0,0.0,1.0
83,1,2,2,1.0,3.0,0.0
449,1,10,2,4.0,1.0,
1730,2,4,1,,,1.0
1739,2,10,1,2.0,1.0,1.0
718,1,11,6,3.0,3.0,
952,2,7,3,6.0,2.0,1.0
1351,2,3,5,6.0,4.0,
263,2,14,2,3.0,1.0,
142,1,6,6,4.0,0.0,0.0
953,2,20,1,2.0,1.0,
454,2,11,5,4.0,2.0,0.0
202,2,14,5,0.0,2.0,1.0
1783,1,16,2,1.0,0.0,0.0
328,1,20,6,0.0,1.0,
930,1,18,5,1.0,4.0,0.0
521,2,7,6,4.0,,1.0
274,2,14,2,0.0,0.0,0.0
784,1,10,2,3.0,3.0,
1160,1,19,3,0.0,6.0,0.0
744,2,15,4,6.0,6.0,0.0
80,2,5,5,,0.0,0.0
126,2,20,6,4.0,2.0,
141,2,16,5,1.0,6.0,
613,2,9,2,,,1.0
729,2,2,1,2.0,3.0,0.0
978,1,19,5,0.0,0.0,
1538,1,12,6,4.0,1.0,0.0
1598,1,5,1,2.0,0.0,0.0
188,1,20,6,2.0,,0.0
299,1,7,2,,,0.0
69,2,19,1,2.0,3.0,1.0
984,1,1,2,,4.0,0.0
86,2,20,6,6.0,2.0,
855,2,8,5,,3.0,1.0
883,2,4,4,0.0,3.0,0.0
1974,1,4,6,3.0,1.0,1.0
150,2,9,5,0.0,0.0,1.0
514,1,7,4,4.0,3.0,1.0
1438,1,3,3,1.0,2.0,
273,2,20,5,1.0,0.0,1.0
1597,1,16,5,2.0,2.0,
303,2,11,1,2.0,1.0,0.0
41,2,19,6,4.0,0.0,0.0
590,1,9,4,,0.0,
1704,2,13,5,4.0,1.0,1.0
1763,2,16,2,0.0,,1.0
19,1,8,1,4.0,1.0,0.0
1564,1,7,1,2.0,4.0,
1866,2,12,1,0.0,0.0,0.0
1796,2,9,2,,1.0,
160,2,3,4,,0.0,1.0
1549,2,12,1,2.0,6.0,1.0
1986,2,13,5,6.0,3.0,0.0
1750,2,1,3,,1.0,1.0
1712,1,4,6,6.0,4.0,1.0
1364,2,15,2,4.0,,1.0
1492,1,1,5,0.0,3.0,0.0
185,1,12,6,,4.0,
520,1,14,4,4.0,4.0,1.0
202,2,16,3,6.0,4.0,0.0
1978,2,14,2,6.0,4.0,
670,2,4,5,4.0,2.0,
1335,1,1,6,3.0,0.0,0.0
197,2,5,2,,4.0,1.0
1273,2,6,5,,2.0,1.0
1022,2,14,2,3.0,3.0,
1363,2,8,1,4.0,4.0,1.0
727,1,5,1,2.0,1.0,0.0
852,1,7,1,4.0,6.0,1.0
1820,2,13,4,4.0,4.0,1.0
1177,1,11,4,0.0,,0.0
1440,1,5,1,0.0,0.0,
360,2,11,1,6.0,0.0,1.0
1269,1,6,3,1.0,3.0,1.0
566,2,13,5,3.0,3.0,1.0
1963,1,14,3,2.0,2.0,1.0
1721,1,5,1,0.0,2.0,
1444,1,6,4,,3.0,0.0
1048,1,17,3,0.0,,0.0
1065,2,15,5,,0.0,1.0
658,2,6,4,0.0,,1.0
734,2,10,3,4.0,0.0,0.0
1469,1,3,3,3.0,1.0,
1249,1,6,1,,0.0,0.0
491,1,2,3,2.0,0.0,1.0
317,1,3,5,0.0,,1.0
1793,1,20,3,,6.0,
868,1,19,6,2.0,3.0,1.0
68,1,16,3,,1.0,0.0
442,1,6,3,,4.0,0.0
1628,2,13,1,1.0,0.0,0.0
929,1,7,4,3.0,,0.0
1760,2,16,6,,1.0,1.0
359,2,2,2,0.0,4.0,0.0
767,1,8,4,6.0,3.0,1.0
1426,2,16,4,6.0,2.0,1.0
1391,2,18,3,6.0,6.0,1.0
1790,1,15,3,3.0,4.0,
1280,2,15,5,0.0,2.0,1.0
1559,1,3,5,1.0,3.0,
420,1,6,3,6.0,6.0,1.0
1745,1,12,6,1.0,6.0,0.0
572,2,5,2,1.0,4.0,0.0
382,1,13,2,6.0,2.0,1.0
1518,2,17,4,1.0,1.0,
871,1,1,1,6.0,6.0,1.0
392,1,10,5,6.0,4.0,
224,1,14,3,1.0,1.0,0.0
364,1,17,6,0.0,2.0,0.0
965,2,6,2,1.0,,0.0
1606,1,15,2,0.0,4.0,1.0
499,2,9,6,0.0,0.0,0.0
1719,1,13,6,6.0,4.0,1.0
557,2,3,5,2.0,4.0,
324,1,18,1,6.0,2.0,0.0
479,2,4,2,,1.0,
304,1,15,4,0.0,4.0,
1671,2,9,1,1.0,,
125,2,7,1,,2.0,
1301,2,11,6,,4.0,0.0
1625,1,13,4,,6.0,1.0
1092,2,7,3,,4.0,
164,1,9,1,,4.0,
1219,1,12,5,2.0,3.0,
241,1,14,2,,,1.0
1306,2,12,6,0.0,,0.0
1095,2,12,4,3.0,6.0,1.0
528,1,19,3,2.0,,0.0
1812,1,8,4,1.0,2.0,1.0
333,1,6,5,4.0,4.0,
994,2,1,6,,,0.0
1524,1,16,1,2.0,,
934,1,13,1,4.0,4.0,1.0
354,2,15,3,1.0,0.0,1.0
259,2,15,5,6.0,3.0,0.0
394,2,12,1,6.0,6.0,1.0
1707,2,19,6,1.0,3.0,
214,1,11,6,1.0,0.0,1.0
785,2,18,4,,0.0,1.0
149,2,2,5,2.0,2.0,
801,2,14,5,6.0,0.0,0.0
830,2,9,1,4.0,6.0,1.0
516,1,19,2,,,0.0
1204,2,5,5,,,
1689,2,16,4,0.0,0.0,0.0
1477,1,20,5,3.0,4.0,1.0
1210,2,18,2,4.0,0.0,
1135,2,11,2,0.0,3.0,0.0
1860,1,1,6,2.0,0.0,
1649,2,10,1,3.0,,
530,1,6,4,,6.0,0.0
1676,1,18,2,0.0,0.0,0.0
1569,1,9,6,6.0,1.0,1.0
1161,1,16,1,,4.0,
1192,2,6,3,,3.0,
1514,2,15,2,2.0,2.0,1.0
943,1,10,6,6.0,4.0,1.0
1452,2,6,6,0.0,3.0,
151,2,14,4,,3.0,0.0
767,2,1,3,6.0,0.0,1.0
1519,2,5,6,2.0,0.0,0.0
739,2,8,6,,4.0,
1936,1,1,2,2.0,4.0,1.0
1859,2,4,3,0.0,0.0,0.0
1791,2,9,3,6.0,2.0,0.0
1627,1,12,6,4.0,4.0,0.0
1489,2,8,2,1.0,,0.0
923,2,10,1,4.0,2.0,1.0
155,1,3,1,1.0,2.0,1.0
330,1,1,2,,,1.0
907,2,6,3,6.0,,
1921,2,15,6,6.0,2.0,
55,1,4,6,0.0,1.0,1.0
112,2,6,3,0.0,1.0,1.0
461,1,20,4,1.0,2.0,1.0
816,2,17,1,2.0,6.0,
333,1,9,1,2.0,3.0,
1976,2,14,4,6.0,6.0,1.0
1004,2,20,5,,0.0,1.0
1398,1,3,2,3.0,1.0,
1184,2,10,1,1.0,6.0,0.0
774,1,15,2,0.0,0.0,
554,1,4,4,3.0,0.0,
812,1,15,5,1.0,,
1778,1,17,5,3.0,4.0,1.0
1402,2,12,2,6.0,0.0,1.0
1843,2,6,4,3.0,2.0,0.0
1449,2,18,1,1.0,0.0,
569,2,2,2,,0.0,1.0
831,2,19,3,0.0,4.0,0.0
479,1,20,4,6.0,,0.0
1288,1,13,5,4.0,,
1873,1,19,3,6.0,6.0,1.0
369,1,8,2,3.0,0.0,
574,1,9,6,0.0,,0.0
1263,1,12,3,0.0,6.0,1.0
1241,1,4,5,1.0,2.0,0.0
745,2,8,3,4.0,1.0,1.0
995,1,4,5,3.0,1.0,
399,1,6,4,0.0,3.0,0.0
1739,2,16,4,4.0,,1.0
632,2,10,6,4.0,6.0,1.0
724,2,3,1,4.0,0.0,0.0
1046,2,2,2,6.0,,0.0
1505,1,15,1,1.0,0.0,
733,1,4,5,,,0.0
901,2,6,2,4.0,,1.0
1465,2,14,2,3.0,2.0,0.0
471,1,14,5,6.0,,
1512,1,3,3,4.0,1.0,0.0
332,2,19,1,3.0,6.0,
658,2,9,6,0.0,4.0,1.0
1113,1,4,1,4.0,1.0,0.0
1034,1,12,3,1.0,2.0,1.0
761,1,13,1,1.0,2.0,
1881,1,2,3,1.0,1.0,1.0
947,2,19,2,4.0,1.0,1.0
1631,1,7,4,4.0,,0.0
498,2,9,5,6.0,1.0,0.0
428,1,5,2,1.0,2.0,0.0
1722,2,4,2,1.0,2.0,0.0
739,1,16,4,4.0,2.0,1.0
877,1,6,5,3.0,3.0,0.0
1078,1,19,5,4.0,6.0,
732,2,4,4,6.0,2.0,1.0
1025,1,16,4,0.0,3.0,1.0
1983,1,17,3,,0.0,1.0
1798,1,12,1,2.0,0.0,0.0
449,2,7,3,1.0,6.0,
1481,1,4,4,4.0,0.0,1.0
1848,1,1,3,6.0,1.0,0.0
1712,2,20,6,1.0,0.0,1.0
1223,1,10,3,3.0,2.0,0.0
1590,2,17,1,0.0,4.0,
715,2,14,2,1.0,4.0,
955,1,11,6,6.0,,0.0
1339,1,9,3,6.0,0.0,0.0
963,2,12,6,1.0,2.0,
1840,2,18,3,6.0,,0.0
277,1,19,2,0.0,1.0,
176,2,18,3,0.0,6.0,
1878,1,11,3,4.0,3.0,0.0
815,1,14,4,3.0,4.0,0.0
34,2,16,2,1.0,2.0,1.0
1118,2,19,1,,0.0,1.0
1471,1,9,4,0.0,2.0,
1326,2,4,2,1.0,1.0,1.0
1288,1,10,1,1.0,,0.0
1366,1,18,2,4.0,,1.0
1166,2,4,6,,4.0,
597,1,20,3,1.0,,0.0
569,2,4,3,0.0,2.0,
1518,1,3,4,0.0,3.0,
1587,2,16,6,0.0,6.0,1.0
1304,1,16,4,6.0,6.0,
1934,1,12,6,4.0,4.0,1.0
823,2,15,2,0.0,0.0,
1566,2,9,3,1.0,3.0,
150,2,16,5,1.0,1.0,1.0
455,1,15,4,0.0,,
1016,2,3,1,,1.0,
185,2,3,3,1.0,,1.0
1395,1,5,4,4.0,0.0,1.0
1897,2,6,6,2.0,1.0,
702,1,12,4,,0.0,1.0
91,2,12,5,1.0,4.0,
80,2,12,1,0.0,6.0,
18,2,16,1,2.0,1.0,
240,2,2,6,3.0,6.0,
1797,2,4,6,3.0,4.0,
966,1,4,5,3.0,1.0,0.0
1493,2,7,5,2.0,,
219,1,13,3,2.0,3.0,1.0
1013,1,12,5,,0.0,
1923,2,11,2,0.0,0.0,1.0
