match_id,season,team1,team2,venue,winner,match_date
42,2023,CSK,GT,Delhi,SRH,2020-05-01
43,2024,MI,RR,Mumbai,PBKS,2020-05-02
44,2024,RCB,CSK,Hyderabad,KKR,2020-05-03
45,2021,GT,KKR,Chennai,,2020-05-04
46,2020,MI,RR,Hyderabad,,2020-05-05
47,2021,CSK,MI,Bangalore,,2020-05-06
48,2020,MI,GT,Delhi,MI,2020-05-07
49,2020,SRH,RCB,Delhi,RR,2020-05-08
50,2024,PBKS,RR,Kolkata,MI,2020-05-09
51,2022,GT,SRH,Bangalore,LSG,2020-05-10
52,2022,SRH,PBKS,Ahmedabad,SRH,2020-05-11
53,2020,DC,RR,Hyderabad,DC,2020-05-12
54,2022,DC,GT,Ahmedabad,,2020-05-13
55,2023,PBKS,CSK,Hyderabad,SRH,2020-05-14
56,2020,LSG,PBKS,Hyderabad,DC,2020-05-15
57,2022,SRH,DC,Chennai,LSG,2020-05-16
58,2023,RR,CSK,Kolkata,SRH,2020-05-17
59,2024,CSK,RR,Chennai,SRH,2020-05-18
60,2022,RR,GT,Ahmedabad,,2020-05-19
61,2023,PBKS,DC,Ahmedabad,RCB,2020-05-20
62,2023,MI,MI,Mumbai,RR,2020-05-21
63,2022,RCB,MI,Bangalore,PBKS,2020-05-22
64,2020,GT,GT,Delhi,MI,2020-05-23
65,2022,KKR,CSK,Bangalore,MI,2020-05-24
66,2023,MI,SRH,Ahmedabad,DC,2020-05-25
67,2020,LSG,KKR,Kolkata,RCB,2020-05-26
68,2024,RCB,GT,Bangalore,RR,2020-05-27
69,2021,CSK,CSK,Hyderabad,,2020-05-28
70,2022,DC,KKR,Chennai,SRH,2020-05-29
71,2024,DC,LSG,Chennai,LSG,2020-05-30
72,2024,GT,RCB,Delhi,DC,2020-05-31
73,2023,KKR,SRH,Bangalore,DC,2020-06-01
74,2024,KKR,RCB,Delhi,SRH,2020-06-02
75,2021,PBKS,SRH,Mumbai,,2020-06-03
76,2022,SRH,RCB,Mumbai,LSG,2020-06-04
77,2023,RCB,RCB,Bangalore,RR,2020-06-05
78,2023,RR,GT,Bangalore,,2020-06-06
79,2020,RCB,PBKS,Mumbai,,2020-06-07
80,2020,RR,CSK,Delhi,MI,2020-06-08
81,2024,LSG,CSK,Chennai,CSK,2020-06-09
82,2022,DC,RCB,Mumbai,RCB,2020-06-10
83,2024,RR,MI,Bangalore,CSK,2020-06-11
84,2020,RCB,KKR,Hyderabad,LSG,2020-06-12
85,2023,SRH,DC,Ahmedabad,GT,2020-06-13
86,2024,DC,PBKS,Delhi,KKR,2020-06-14
87,2023,GT,SRH,Hyderabad,RR,2020-06-15
88,2022,PBKS,LSG,Hyderabad,,2020-06-16
89,2022,GT,DC,Bangalore,MI,2020-06-17
90,2020,PBKS,DC,Mumbai,SRH,2020-06-18
91,2024,KKR,CSK,Hyderabad,RR,2020-06-19
92,2020,GT,SRH,Kolkata,CSK,2020-06-20
93,2024,PBKS,SRH,Delhi,MI,2020-06-21
94,2021,RR,MI,Chennai,DC,2020-06-22
95,2022,SRH,DC,Kolkata,GT,2020-06-23
96,2021,RR,DC,Mumbai,DC,2020-06-24
97,2022,KKR,MI,Hyderabad,PBKS,2020-06-25
98,2020,CSK,RR,Mumbai,RCB,2020-06-26
99,2021,DC,MI,Bangalore,RCB,2020-06-27
100,2020,LSG,PBKS,Bangalore,RR,2020-06-28
101,2024,LSG,MI,Mumbai,MI,2020-06-29
102,2020,PBKS,RR,Bangalore,DC,2020-06-30
103,2023,MI,RR,Mumbai,PBKS,2020-07-01
104,2023,KKR,DC,Delhi,LSG,2020-07-02
105,2021,LSG,PBKS,Hyderabad,LSG,2020-07-03
106,2020,GT,DC,Kolkata,RCB,2020-07-04
107,2022,RCB,SRH,Chennai,RR,2020-07-05
108,2021,RR,LSG,Ahmedabad,,2020-07-06
109,2022,KKR,SRH,Mumbai,PBKS,2020-07-07
110,2020,GT,SRH,Delhi,CSK,2020-07-08
111,2024,PBKS,CSK,Hyderabad,,2020-07-09
112,2023,MI,CSK,Hyderabad,CSK,2020-07-10
113,2023,DC,PBKS,Hyderabad,RR,2020-07-11
114,2023,GT,PBKS,Chennai,DC,2020-07-12
115,2023,LSG,RCB,Ahmedabad,RR,2020-07-13
116,2022,MI,MI,Ahmedabad,MI,2020-07-14
117,2022,MI,PBKS,Hyderabad,MI,2020-07-15
118,2022,GT,DC,Ahmedabad,SRH,2020-07-16
119,2020,KKR,RCB,Chennai,SRH,2020-07-17
120,2020,RR,KKR,Delhi,RR,2020-07-18
121,2020,SRH,RCB,Ahmedabad,DC,2020-07-19
122,2021,DC,PBKS,Ahmedabad,PBKS,2020-07-20
123,2023,RR,GT,Kolkata,PBKS,2020-07-21
124,2020,KKR,KKR,Mumbai,CSK,2020-07-22
125,2020,RCB,PBKS,Delhi,RCB,2020-07-23
126,2020,CSK,SRH,Kolkata,,2020-07-24
127,2022,RR,SRH,Hyderabad,,2020-07-25
128,2024,GT,CSK,Ahmedabad,LSG,2020-07-26
129,2023,SRH,CSK,Ahmedabad,MI,2020-07-27
130,2022,PBKS,PBKS,Bangalore,KKR,2020-07-28
131,2024,RR,GT,Bangalore,PBKS,2020-07-29
132,2024,SRH,PBKS,Kolkata,RCB,2020-07-30
133,2024,LSG,KKR,Mumbai,RCB,2020-07-31
134,2021,LSG,RR,Bangalore,KKR,2020-08-01
135,2024,KKR,GT,Delhi,,2020-08-02
136,2020,MI,RR,Bangalore,,2020-08-03
137,2020,SRH,CSK,Bangalore,LSG,2020-08-04
138,2020,MI,MI,Kolkata,,2020-08-05
139,2024,MI,LSG,Ahmedabad,RCB,2020-08-06
140,2021,DC,LSG,Chennai,MI,2020-08-07
141,2022,MI,SRH,Kolkata,DC,2020-08-08
142,2022,DC,GT,Chennai,DC,2020-08-09
143,2020,CSK,SRH,Chennai,PBKS,2020-08-10
144,2024,RR,RCB,Hyderabad,RR,2020-08-11
145,2021,PBKS,KKR,Mumbai,GT,2020-08-12
146,2021,DC,CSK,Chennai,CSK,2020-08-13
147,2023,KKR,RCB,Delhi,RCB,2020-08-14
148,2021,CSK,LSG,Delhi,SRH,2020-08-15
149,2020,RCB,KKR,Bangalore,SRH,2020-08-16
150,2024,LSG,CSK,Mumbai,CSK,2020-08-17
151,2020,SRH,PBKS,Hyderabad,,2020-08-18
152,2023,MI,CSK,Bangalore,DC,2020-08-19
153,2021,GT,MI,Hyderabad,RCB,2020-08-20
154,2022,LSG,PBKS,Mumbai,RR,2020-08-21
155,2024,RR,CSK,Ahmedabad,RR,2020-08-22
156,2021,CSK,PBKS,Kolkata,MI,2020-08-23
157,2020,RR,CSK,Hyderabad,LSG,2020-08-24
158,2023,RCB,CSK,Chennai,,2020-08-25
159,2022,CSK,GT,Bangalore,PBKS,2020-08-26
160,2021,LSG,DC,Chennai,RR,2020-08-27
161,2020,MI,PBKS,Bangalore,LSG,2020-08-28
162,2023,SRH,GT,Hyderabad,MI,2020-08-29
163,2020,PBKS,CSK,Mumbai,,2020-08-30
164,2023,KKR,CSK,Delhi,CSK,2020-08-31
165,2023,GT,DC,Bangalore,DC,2020-09-01
166,2022,CSK,MI,Ahmedabad,DC,2020-09-02
167,2024,RR,LSG,Hyderabad,RR,2020-09-03
168,2021,PBKS,DC,Bangalore,PBKS,2020-09-04
169,2020,MI,PBKS,Ahmedabad,PBKS,2020-09-05
170,2022,KKR,CSK,Mumbai,SRH,2020-09-06
171,2021,LSG,GT,Mumbai,LSG,2020-09-07
172,2021,RR,CSK,Hyderabad,,2020-09-08
173,2022,LSG,KKR,Bangalore,KKR,2020-09-09
174,2022,CSK,GT,Hyderabad,,2020-09-10
175,2020,SRH,MI,Hyderabad,RCB,2020-09-11
176,2023,RCB,MI,Hyderabad,,2020-09-12
177,2021,SRH,PBKS,Ahmedabad,,2020-09-13
178,2020,GT,GT,Mumbai,LSG,2020-09-14
179,2021,GT,LSG,Kolkata,,2020-09-15
180,2021,CSK,MI,Ahmedabad,GT,2020-09-16
181,2023,CSK,LSG,Mumbai,PBKS,2020-09-17
182,2024,RR,CSK,Ahmedabad,,2020-09-18
183,2024,KKR,KKR,Delhi,DC,2020-09-19
184,2021,MI,SRH,Bangalore,CSK,2020-09-20
185,2020,KKR,RR,Bangalore,MI,2020-09-21
186,2023,GT,SRH,Delhi,RCB,2020-09-22
187,2021,KKR,KKR,Chennai,DC,2020-09-23
188,2021,SRH,KKR,Hyderabad,RR,2020-09-24
189,2021,CSK,RR,Kolkata,KKR,2020-09-25
190,2020,RCB,GT,Bangalore,KKR,2020-09-26
191,2021,RCB,MI,Chennai,,2020-09-27
192,2021,RR,LSG,Hyderabad,,2020-09-28
193,2020,LSG,DC,Delhi,DC,2020-09-29
194,2024,SRH,PBKS,Delhi,RR,2020-09-30
195,2020,SRH,RCB,Ahmedabad,RR,2020-10-01
196,2024,MI,PBKS,Delhi,RR,2020-10-02
197,2024,RCB,GT,Hyderabad,DC,2020-10-03
198,2020,CSK,DC,Delhi,RCB,2020-10-04
199,2020,RR,PBKS,Mumbai,,2020-10-05
200,2023,KKR,RR,Mumbai,RCB,2020-10-06
200,2023,KKR,RR,Mumbai,RCB,2020-10-06
44,2024,RCB,CSK,Hyderabad,KKR,2020-05-03
175,2020,SRH,MI,Hyderabad,RCB,2020-09-11
43,2024,MI,RR,Mumbai,PBKS,2020-05-02
51,2022,GT,SRH,Bangalore,LSG,2020-05-10
62,2023,MI,MI,Mumbai,RR,2020-05-21
35,2023,MI,CSK,Mumbai,LSG,2020-04-24
120,2020,RR,KKR,Delhi,RR,2020-07-18
159,2022,CSK,GT,Bangalore,PBKS,2020-08-26
76,2022,SRH,RCB,Mumbai,LSG,2020-06-04
20,2023,GT,DC,Hyderabad,SRH,2020-04-09
142,2022,DC,GT,Chennai,DC,2020-08-09
179,2021,GT,LSG,Kolkata,,2020-09-15
188,2021,SRH,KKR,Hyderabad,RR,2020-09-24
83,2024,RR,MI,Bangalore,CSK,2020-06-11
160,2021,LSG,DC,Chennai,RR,2020-08-27
185,2020,KKR,RR,Bangalore,MI,2020-09-21
156,2021,CSK,PBKS,Kolkata,MI,2020-08-23
28,2024,LSG,DC,Mumbai,MI,2020-04-17
157,2020,RR,CSK,Hyderabad,LSG,2020-08-24
